Food product,Broad Cat,Sub Cat,Protein Level,Land use change (kgCO₂eq per kilogram),Animal Feed (kgCO₂eq per kilogram),Farm (kgCO₂eq per kilogram),Processing (kgCO₂eq per kilogram),Transport (kgCO₂eq per kilogram),Packging (kgCO₂eq per kilogram),Retail (kgCO₂eq per kilogram),Greenhouse gas emissions per kilogram (kgCO₂eq per kilogram),Greenhouse gas emissions per 1000kcal (kgCO₂eq per 1000kcal),Greenhouse gas emissions per 100g protein (kgCO₂eq per 100g protein),Eutrophying emissions per kilogram (gPO₄eq per kilogram),Eutrophying emissions per 1000kcal (gPO₄eq per 1000kcal),Eutrophying emissions per 100g protein (gPO₄eq per 100 grams protein),Freshwater withdrawals per kilogram (liters per kilogram),Freshwater withdrawals per 1000kcal (liters per 1000kcal),Freshwater withdrawals per 100g protein (liters per 100g protein),Land use per kilogram (m² per kilogram),Land use per 1000kcal (m² per 1000kcal),Land use per 100g protein (m² per 100g protein)
Wheat & Rye (Bread),Plant,Grains,Lower,0.1,0,0.8,0.2,0.1,0.1,0.1,1.4,0.586843492,1.286885246,7.16,2.676305353,5.868852459,647.5,242.0262173,530.7377049,3.85,1.439074806,3.155737705
Maize (Meal),Plant,Grains,Lower,0.3,0,0.5,0.1,0.1,0.1,0,1.1,0.375898286,1.789473684,4.03,0.891100055,4.242105263,215.7,47.69485904,227.0526316,2.94,0.650082919,3.094736842
Barley (Beer),Plant,Grains,Lower,0,0,0.2,0.1,0,0.5,0.3,1.1,0.236,,2.33,0.466,,17.1,3.42,,1.11,0.222,
Oatmeal,Plant,Grains,Lower,0,0,1.4,0,0.1,0.1,0,1.6,0.945482272,1.907692308,11.23,4.281357225,8.638461538,482.4,183.9115517,371.0769231,7.6,2.897445673,5.846153846
Rice,Plant,Grains,Lower,0,0,3.6,0.1,0.1,0.1,0.1,4,1.207270754,6.267605634,35.07,9.51437873,49.3943662,2248.4,609.9837222,3166.760563,2.8,0.759631036,3.943661972
Potatoes,Plant,Others,Lower,0,0,0.2,0,0.1,0,0,0.3,0.628415301,2.705882353,3.48,4.754098361,20.47058824,59.1,80.73770492,347.6470588,0.88,1.202185792,5.176470588
Cassava,Plant,Others,Lower,0.6,0,0.2,0,0.1,0,0,0.9,1.35523614,14.66666667,0.69,0.708418891,7.666666667,0,,,1.81,1.858316222,20.11111111
Cane Sugar,Plant,Others,Lower,1.2,0,0.5,0,0.8,0.1,0,2.6,0.911680912,,16.92,4.820512821,,620.1,176.6666667,,2.04,0.581196581,
Beet Sugar,Plant,Others,Lower,0,0,0.5,0.2,0.6,0.1,0,1.4,0.515669516,,5.41,1.541310541,,217.7,62.02279202,,1.83,0.521367521,
Other Pulses,Plant,Beans & Peas,Higher,0,0,1.1,0,0.1,0.4,0,1.6,0.524926686,0.836057917,17.08,5.008797654,7.97758057,435.7,,203.503036,15.57,4.565982405,7.272302662
Peas,Plant,Beans & Peas,Higher,0,0,0.7,0,0.1,0,0,0.8,0.283236994,0.441044104,7.52,2.173410405,3.384338434,396.6,,178.4878488,7.46,2.156069364,3.357335734
Nuts,Plant,Nuts & Seeds,Higher,-2.1,0,2.1,0,0.1,0.1,0,0.2,0.069918699,0.263319045,19.15,3.113821138,11.72688304,4133.8,672.1626016,2531.414574,12.96,2.107317073,7.936313533
Groundnuts,Plant,Nuts & Seeds,Higher,0.4,0,1.4,0.4,0.1,0.1,0,2.4,0.556896552,1.233766234,14.14,2.437931034,5.401069519,1852.3,319.362069,707.5248281,9.11,1.570689655,3.479755539
Soymilk,Plant,Beans & Peas,Higher,0.2,0,0.1,0.2,0.1,0.1,0.3,1,,,1.06,,,27.8,,,0.66,,
Tofu,Plant,Beans & Peas,Higher,1,0,0.5,0.8,0.2,0.2,0.3,3,1.166051661,1.975,6.16,2.273062731,3.85,148.6,54.83394834,92.875,3.52,1.298892989,2.2
Soybean Oil,Plant,Beans & Peas,Higher,3.1,0,1.5,0.3,0.3,0.8,0,6,,,11.69,,,414.6,,,10.52,,
